_id,Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Total,El NiNo (Y/N),La Nina (Y/N)
24,1924,0.7,0,0,25.1,62.2,109.2,107.4,138.6,169.1,40.8,33.2,0,686.3,N,N
25,1925,0,0,8.3,55.1,178.5,34.7,89.1,114.8,160.5,42.1,31.2,27.9,742.2,N,Y
26,1926,28.7,0,10.9,97.7,46.4,60.4,86.3,65.7,245.3,148.8,1.7,0,791.9,Y,N
27,1927,0,9.9,0,4,79.2,55.8,98,37,267.2,10.4,40.3,0.7,602.5,N,N
28,1928,0,20,7.6,9.9,57.6,63.7,182.6,176.5,18.7,408.9,25.6,1.7,972.8,N,N
29,1929,7.3,28.1,0,165.6,75.1,28.1,39.3,43.4,153.6,139.1,96,13.4,789,N,N
30,1930,5.8,30.7,12.4,49.2,177,38.3,143.5,39.3,201.9,244.6,27.9,20.3,990.9,N,N
31,1931,0,0,2.5,2.5,87.6,56.3,86.3,33,267.2,39.3,44.7,21.3,640.7,Y,N
32,1932,0,89.9,1,8.1,111.2,69,105.9,147,111.5,336.8,103.1,6.6,1090.1,N,N
33,1933,0,7.6,0.7,23.8,195.8,45.2,145,260.8,103.3,204.4,4.8,57.1,1048.5,N,N
34,1934,7.3,0,7.6,90.4,64.2,85,33.5,67.3,8.3,232.4,26.9,5,627.9,N,Y
35,1935,2,0,0,32.5,56.3,170.9,81.7,343.6,130.3,261.3,7.8,14.9,1101.3,N,N
36,1936,0,1,23.8,2.2,164.5,68.3,141.9,61.4,182.6,73.6,51.5,0,770.8,N,N
37,1937,1.2,45.9,20,162,113.7,77.2,95.5,82.8,76.2,96.7,39.3,19,829.5,N,N
38,1938,0,2.2,5.5,15.2,59.4,67.3,138.4,307.5,173.2,29.2,1.5,0,799.4,N,N
39,1939,14.9,0,10.1,156.2,50.8,84.3,59.4,90.1,165.6,192.7,71.1,0,895.2,N,Y
40,1940,0,0,2,42.1,193.5,119.3,40.3,80.5,123.4,150.3,162.5,15.2,929.1,N,N
41,1941,4,0,0,81.5,90.1,97.5,86.3,79.7,132.5,167.8,36.3,85.5,861.2,Y,N
42,1942,0,0,0,18.2,65,98.8,52.3,160.2,153.6,81.5,156.7,42.9,829.2,Y,N
43,1943,18.5,0,1,116.8,184.9,40.1,156.4,110.4,165.1,383,63.2,1,1240.4,N,Y
44,1944,0,62.9,71.8,40.8,59.4,93.4,140.9,151.6,168.9,160.2,51.3,8.1,1009.3,N,N
45,1945,0,0,0,25.9,116.5,4.5,110.2,150.1,102.8,60.4,17,0,587.4,N,N
46,1946,0.2,0,8.6,26.6,134.6,9.3,134.6,156.4,226.8,129.7,159,55.8,1041.6,N,N
47,1947,3.3,0,1.5,8.1,64,109.7,165.6,226.8,95.7,206.7,22.3,6.6,910.3,N,N
48,1948,10.6,0,0,25.9,159.2,132,148.5,285.4,60.4,136.3,37.8,5,1001.1,N,N
49,1949,0,7.8,0,39.8,47.2,94.2,350.2,165.6,102.3,260.3,2.5,0,1069.9,N,N
50,1950,0,2,0,2.5,100,27.1,71.3,132.3,106.1,181.3,178.8,0,801.4,N,Y
51,1951,0,0,0.8,11.2,169.7,56.6,172.2,48.5,266.7,122.7,56.1,0,904.5,N,Y
52,1952,0,10.9,0,5,92.7,93.4,124.4,154.1,75.1,178.3,0,77.7,811.6,N,N
53,1953,0,4.5,0,143.7,50.8,73.6,177.2,43.9,199.3,503.6,5,0,1201.6,N,N
54,1954,14.2,0,1.2,11.1,159.7,74.9,202.4,155.9,25.1,192,0,36.3,872.8,N,N
55,1955,8.3,0,0,92.7,118.8,66.2,98.8,161,104.1,132.5,6.3,6.6,795.3,N,Y
56,1956,3.3,0,0,44.1,20.3,90.9,112,73.1,189.4,522.2,56.1,9.6,1121,N,Y
57,1957,0,0,19.8,22.9,287,117.1,27.8,50.6,55.2,151.3,31.1,0,762.8,N,N
58,1958,10.2,0,3.8,102.6,225.9,89.4,80.7,287.9,227.4,167.3,81.9,6.2,1283.3,Y,N
59,1959,0,71.5,0,12.9,109,134.1,52.1,253.4,265,28.7,39.2,3.7,969.6,N,N
60,1960,0,0,0.6,2.3,142.7,56.4,103.8,90.7,216.5,163.6,113.5,0.4,890.5,N,N
61,1961,4.6,2.8,0.6,65.2,150.5,71.6,93.4,115.7,149.5,181.5,43.1,2.9,881.4,N,N
62,1962,0.9,8.3,18.6,122.5,120.7,77,45.7,129.7,188.7,241.7,7.4,92.2,1053.4,N,Y
63,1963,16.6,0,7.6,106.5,98.4,93.7,23.3,203.3,180.6,260.7,31.3,14.8,1036.8,N,N
64,1964,0,0,0,10,80.4,82.6,285.6,105.7,287.7,141.5,189.8,8.3,1191.6,N,N
65,1965,0,0,0,31.2,27.3,56.4,60.1,357.1,55.1,3.2,46,55.6,692,N,N
66,1966,0,0,0.4,38.2,131.5,61.8,125.4,86.6,314.1,184.6,235.7,27.8,1206.1,Y,N
67,1967,22.7,0,11.3,3.7,71.4,81.6,199.9,93,66.4,128.5,51,30.9,760.4,N,N
68,1968,0,5.8,6,30,96.5,127.9,53.9,65.8,333.7,119.5,17.8,11.7,868.6,N,N
69,1969,0,0,1.6,121.7,165.2,55.9,76.4,187.5,85.7,191.5,192.3,119.2,1197,N,N
70,1970,0,14.6,1.5,17.2,161.9,119.5,122.2,135.6,135.7,281.7,33.4,1,1024.3,N,N
71,1971,0,4.6,0.2,61.3,179.2,23.6,54.6,212.7,241,124.7,19.1,24.3,945.3,N,Y
72,1972,0.2,0,0,17.7,112.1,83.5,48.1,61.4,213.4,211.8,35,73.7,856.9,N,N
73,1973,0,0,0,4.8,54.5,71.7,90.3,158.6,331.1,194.1,22.4,22.8,950.3,Y,N
